Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
Cont-GP317-A1_R1_001_val_1	pass	0.0	fail	135.99395552	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	22284300.0	pass	fail	warn	39.0	47.5215911004	Cont-GP317-A1_R1_001_val_1.fq.gz	pass	pass
Cont-GP317-A1_R2_001_val_2	pass	0.0	fail	136.001641739	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	22284300.0	pass	fail	warn	39.0	49.0895833817	Cont-GP317-A1_R2_001_val_2.fq.gz	pass	pass
Cont-GP317-A2_R1_001_val_1	pass	0.0	fail	135.529859971	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	20106550.0	pass	fail	warn	39.0	45.6588270753	Cont-GP317-A2_R1_001_val_1.fq.gz	pass	pass
Cont-GP317-A2_R2_001_val_2	pass	0.0	fail	135.543833875	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	20106550.0	pass	fail	warn	39.0	47.149952613	Cont-GP317-A2_R2_001_val_2.fq.gz	pass	pass
Cont-GP317-B1_R1_001_val_1	pass	0.0	fail	136.8262548	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21133286.0	pass	fail	warn	40.0	47.3415518203	Cont-GP317-B1_R1_001_val_1.fq.gz	pass	pass
Cont-GP317-B1_R2_001_val_2	pass	0.0	fail	136.835549852	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	21133286.0	pass	fail	warn	40.0	49.1380267855	Cont-GP317-B1_R2_001_val_2.fq.gz	pass	pass
Cont-GP317-B2_R1_001_val_1	pass	0.0	warn	135.370380082	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	19576374.0	pass	fail	warn	40.0	50.5085758165	Cont-GP317-B2_R1_001_val_1.fq.gz	pass	pass
Cont-GP317-B2_R2_001_val_2	pass	0.0	warn	135.382307214	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	19576374.0	pass	fail	warn	40.0	52.0662298753	Cont-GP317-B2_R2_001_val_2.fq.gz	pass	pass
Cont-Lola-A1_R1_001_val_1	pass	0.0	fail	136.047764141	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20871327.0	pass	fail	warn	41.0	43.7716149086	Cont-Lola-A1_R1_001_val_1.fq.gz	pass	pass
Cont-Lola-A1_R2_001_val_2	pass	0.0	fail	136.047829973	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	pass	20871327.0	pass	fail	warn	41.0	45.6744595883	Cont-Lola-A1_R2_001_val_2.fq.gz	pass	pass
Cont-Lola-A2_R1_001_val_1	pass	0.0	fail	135.705888883	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	24132080.0	pass	fail	warn	41.0	45.2729607839	Cont-Lola-A2_R1_001_val_1.fq.gz	pass	pass
Cont-Lola-A2_R2_001_val_2	pass	0.0	fail	135.722897819	Sanger / Illumina 1.9	pass	warn	20-150	Conventional base calls	pass	warn	24132080.0	pass	fail	warn	41.0	47.0541872341	Cont-Lola-A2_R2_001_val_2.fq.gz	pass	pass
