Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
Cont-GP317-A1_R1_001_val_1	52.4784088996	135.99395552	22284300.0	18.1818181818	39.0
Cont-GP317-A1_R2_001_val_2	50.9104166183	136.001641739	22284300.0	18.1818181818	39.0
Cont-GP317-A2_R1_001_val_1	54.3411729247	135.529859971	20106550.0	18.1818181818	39.0
Cont-GP317-A2_R2_001_val_2	52.850047387	135.543833875	20106550.0	18.1818181818	39.0
Cont-GP317-B1_R1_001_val_1	52.6584481797	136.8262548	21133286.0	18.1818181818	40.0
Cont-GP317-B1_R2_001_val_2	50.8619732145	136.835549852	21133286.0	18.1818181818	40.0
Cont-GP317-B2_R1_001_val_1	49.4914241835	135.370380082	19576374.0	9.09090909091	40.0
Cont-GP317-B2_R2_001_val_2	47.9337701247	135.382307214	19576374.0	9.09090909091	40.0
Cont-Lola-A1_R1_001_val_1	56.2283850914	136.047764141	20871327.0	18.1818181818	41.0
Cont-Lola-A1_R2_001_val_2	54.3255404117	136.047829973	20871327.0	18.1818181818	41.0
Cont-Lola-A2_R1_001_val_1	54.7270392161	135.705888883	24132080.0	18.1818181818	41.0
Cont-Lola-A2_R2_001_val_2	52.9458127659	135.722897819	24132080.0	18.1818181818	41.0
Cont-Lola-B1_R1_001_val_1	50.9999551759	135.630244562	21123903.0	18.1818181818	41.0
Cont-Lola-B1_R2_001_val_2	49.3033806329	135.653768056	21123903.0	9.09090909091	41.0
Cont-Lola-B2_R1_001_val_1	56.7489813808	136.391146492	21439796.0	18.1818181818	42.0
Cont-Lola-B2_R2_001_val_2	54.7308733124	136.387941191	21439796.0	18.1818181818	42.0
Exp-GP317-A1_R1_001_val_1	54.7064340134	135.832969948	21091480.0	18.1818181818	39.0
Exp-GP317-A1_R2_001_val_2	53.1859665796	135.842091688	21091480.0	18.1818181818	39.0
Exp-GP317-A2_R1_001_val_1	53.7783585505	135.398871187	19899309.0	18.1818181818	39.0
Exp-GP317-A2_R2_001_val_2	52.1874009924	135.414111214	19899309.0	18.1818181818	39.0
Exp-GP317-B1_R1_001_val_1	53.1289822582	135.949853676	20992865.0	18.1818181818	40.0
Exp-GP317-B1_R2_001_val_2	51.6311554675	135.961378021	20992865.0	18.1818181818	40.0
Exp-GP317-B2_R1_001_val_1	63.4194665141	134.882235624	19141646.0	18.1818181818	38.0
Exp-GP317-B2_R2_001_val_2	61.8432517235	134.89297749	19141646.0	18.1818181818	38.0
Exp-Lola-A1_R1_001_val_1	52.0547867237	135.630344748	20883258.0	18.1818181818	41.0
Exp-Lola-A1_R2_001_val_2	50.3782809388	135.642476332	20883258.0	18.1818181818	41.0
Exp-Lola-A2_R1_001_val_1	54.5959888043	135.210798661	26659434.0	18.1818181818	41.0
Exp-Lola-A2_R2_001_val_2	52.9323538806	135.233275733	26659434.0	18.1818181818	41.0
Exp-Lola-B1_R1_001_val_1	53.217319508	135.624484204	20063148.0	18.1818181818	42.0
Exp-Lola-B1_R2_001_val_2	51.3730202126	135.645218338	20063148.0	18.1818181818	42.0
Exp-Lola-B2_R1_001_val_1	55.9451235995	135.541577082	22290297.0	27.2727272727	41.0
Exp-Lola-B2_R2_001_val_2	54.3674969513	135.556623494	22290297.0	27.2727272727	41.0
