Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
Cont-GP317-A1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22519146.0	pass	fail	warn	41.0	46.3530847738	Cont-GP317-A1_R1_001.fastq.gz	pass	pass
Cont-GP317-A1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22519146.0	pass	fail	warn	41.0	48.6173691672	Cont-GP317-A1_R2_001.fastq.gz	pass	pass
Cont-GP317-A2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20525686.0	pass	fail	fail	41.0	43.9654026615	Cont-GP317-A2_R1_001.fastq.gz	pass	pass
Cont-GP317-A2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	20525686.0	pass	fail	warn	41.0	47.3023895765	Cont-GP317-A2_R2_001.fastq.gz	pass	pass
Cont-GP317-B1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	21265864.0	pass	fail	warn	41.0	46.4514313937	Cont-GP317-B1_R1_001.fastq.gz	pass	pass
Cont-GP317-B1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21265864.0	pass	fail	warn	41.0	48.6375403914	Cont-GP317-B1_R2_001.fastq.gz	pass	pass
Cont-GP317-B2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	19811168.0	pass	fail	warn	42.0	49.1253354296	Cont-GP317-B2_R1_001.fastq.gz	pass	pass
Cont-GP317-B2_R2_001	fail	0.0	warn	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	warn	19811168.0	pass	fail	warn	42.0	51.3981719486	Cont-GP317-B2_R2_001.fastq.gz	pass	pass
Cont-Lola-A1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21157287.0	pass	fail	warn	43.0	42.4434012568	Cont-Lola-A1_R1_001.fastq.gz	pass	pass
Cont-Lola-A1_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21157287.0	pass	fail	warn	43.0	45.3351647943	Cont-Lola-A1_R2_001.fastq.gz	pass	pass
Cont-Lola-A2_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	24411777.0	pass	fail	warn	42.0	44.0416307765	Cont-Lola-A2_R1_001.fastq.gz	pass	pass
Cont-Lola-A2_R2_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	24411777.0	pass	fail	warn	43.0	46.5201410347	Cont-Lola-A2_R2_001.fastq.gz	pass	pass
Cont-Lola-B1_R1_001	fail	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21344862.0	pass	fail	warn	43.0	47.7542172296	Cont-Lola-B1_R1_001.fastq.gz	pass	pass
