Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
Cont-GP317-A1_R1_001	53.6469152262	150.0	22519146.0	27.2727272727	41.0
Cont-GP317-A1_R2_001	51.3826308328	150.0	22519146.0	27.2727272727	41.0
Cont-GP317-A2_R1_001	56.0345973385	150.0	20525686.0	36.3636363636	41.0
Cont-GP317-A2_R2_001	52.6976104235	150.0	20525686.0	27.2727272727	41.0
Cont-GP317-B1_R1_001	53.5485686063	150.0	21265864.0	27.2727272727	41.0
Cont-GP317-B1_R2_001	51.3624596086	150.0	21265864.0	27.2727272727	41.0
Cont-GP317-B2_R1_001	50.8746645704	150.0	19811168.0	27.2727272727	42.0
Cont-GP317-B2_R2_001	48.6018280514	150.0	19811168.0	18.1818181818	42.0
Cont-Lola-A1_R1_001	57.5565987432	150.0	21157287.0	27.2727272727	43.0
Cont-Lola-A1_R2_001	54.6648352057	150.0	21157287.0	27.2727272727	43.0
Cont-Lola-A2_R1_001	55.9583692235	150.0	24411777.0	27.2727272727	42.0
Cont-Lola-A2_R2_001	53.4798589653	150.0	24411777.0	27.2727272727	43.0
Cont-Lola-B1_R1_001	52.2457827704	150.0	21344862.0	27.2727272727	43.0
Cont-Lola-B1_R2_001	49.5868826639	150.0	21344862.0	18.1818181818	43.0
Cont-Lola-B2_R1_001	57.9235873635	150.0	21671409.0	27.2727272727	43.0
Cont-Lola-B2_R2_001	55.2941312243	150.0	21671409.0	27.2727272727	44.0
Exp-GP317-A1_R1_001	56.2062322957	150.0	21457399.0	36.3636363636	40.0
Exp-GP317-A1_R2_001	53.5634856383	150.0	21457399.0	27.2727272727	41.0
Exp-GP317-A2_R1_001	55.8788201202	150.0	20470908.0	36.3636363636	41.0
Exp-GP317-A2_R2_001	51.8159566834	150.0	20470908.0	27.2727272727	41.0
Exp-GP317-B1_R1_001	54.0648222065	150.0	21111930.0	27.2727272727	41.0
Exp-GP317-B1_R2_001	52.2480419246	150.0	21111930.0	27.2727272727	41.0
Exp-GP317-B2_R1_001	64.9215750518	150.0	19522618.0	36.3636363636	40.0
Exp-GP317-B2_R2_001	62.1995295323	150.0	19522618.0	27.2727272727	40.0
Exp-Lola-A1_R1_001	53.2216467738	150.0	21088901.0	27.2727272727	42.0
Exp-Lola-A1_R2_001	50.9461654991	150.0	21088901.0	27.2727272727	42.0
Exp-Lola-A2_R1_001	55.8743023908	150.0	26928807.0	27.2727272727	42.0
Exp-Lola-A2_R2_001	53.415841861	150.0	26928807.0	27.2727272727	42.0
Exp-Lola-B1_R1_001	55.1773534929	150.0	20570800.0	36.3636363636	43.0
Exp-Lola-B1_R2_001	51.6674839155	150.0	20570800.0	27.2727272727	44.0
Exp-Lola-B2_R1_001	57.3160326316	150.0	22591304.0	27.2727272727	42.0
Exp-Lola-B2_R2_001	54.969880865	150.0	22591304.0	27.2727272727	43.0
