Module	Section	Sample Name	Source
FastQC	all_sections	Cont-GP317-A2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-A2_R2_001_fastqc.zip
FastQC	all_sections	Exp-Lola-A2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-A2_R2_001_fastqc.zip
FastQC	all_sections	Exp-Lola-A1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-A1_R1_001_fastqc.zip
FastQC	all_sections	Exp-Lola-B2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-B2_R2_001_fastqc.zip
FastQC	all_sections	Exp-GP317-A2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-A2_R1_001_fastqc.zip
FastQC	all_sections	Cont-Lola-A2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-A2_R2_001_fastqc.zip
FastQC	all_sections	Exp-GP317-B1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-B1_R2_001_fastqc.zip
FastQC	all_sections	Cont-Lola-B1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-B1_R2_001_fastqc.zip
FastQC	all_sections	Cont-GP317-A1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-A1_R2_001_fastqc.zip
FastQC	all_sections	Exp-Lola-A2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-A2_R1_001_fastqc.zip
FastQC	all_sections	Exp-Lola-B1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-B1_R2_001_fastqc.zip
FastQC	all_sections	Cont-Lola-A1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-A1_R2_001_fastqc.zip
FastQC	all_sections	Exp-GP317-B1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-B1_R1_001_fastqc.zip
FastQC	all_sections	Cont-Lola-B2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-B2_R2_001_fastqc.zip
FastQC	all_sections	Cont-GP317-B2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-B2_R1_001_fastqc.zip
FastQC	all_sections	Exp-GP317-A1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-A1_R1_001_fastqc.zip
FastQC	all_sections	Cont-Lola-A2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-A2_R1_001_fastqc.zip
FastQC	all_sections	Cont-Lola-B2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-B2_R1_001_fastqc.zip
FastQC	all_sections	Cont-GP317-B1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-B1_R1_001_fastqc.zip
FastQC	all_sections	Cont-GP317-B2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-B2_R2_001_fastqc.zip
FastQC	all_sections	Cont-GP317-B1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-B1_R2_001_fastqc.zip
FastQC	all_sections	Exp-GP317-A1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-A1_R2_001_fastqc.zip
FastQC	all_sections	Exp-Lola-B1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-B1_R1_001_fastqc.zip
FastQC	all_sections	Exp-Lola-A1_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-A1_R2_001_fastqc.zip
FastQC	all_sections	Cont-GP317-A1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-A1_R1_001_fastqc.zip
FastQC	all_sections	Cont-GP317-A2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-GP317-A2_R1_001_fastqc.zip
FastQC	all_sections	Exp-GP317-B2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-B2_R2_001_fastqc.zip
FastQC	all_sections	Exp-GP317-A2_R2_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-A2_R2_001_fastqc.zip
FastQC	all_sections	Cont-Lola-B1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-B1_R1_001_fastqc.zip
FastQC	all_sections	Cont-Lola-A1_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Cont-Lola-A1_R1_001_fastqc.zip
FastQC	all_sections	Exp-GP317-B2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-GP317-B2_R1_001_fastqc.zip
FastQC	all_sections	Exp-Lola-B2_R1_001	/data/users/yaamini/01_trimgalore/untrimmed_fastqc/Exp-Lola-B2_R1_001_fastqc.zip
